resource_id,url,category,description,in_sources_md,sources_md_id,supporting_claims,claim_count,ingestion_batch
RES-0137,https://www.charityintelligence.ca/charity-details/78-covenant-house-toronto,Other (www.charityintelligence.ca),Covenant House Toronto — T3010 (FY June 2024),yes,K-003,CL-196,1,project-history
RES-0138,https://www.charityintelligence.ca/charity-details/29-covenant-house-toronto,Other (www.charityintelligence.ca),CRA T3010 annual information return via Charity Intelligence Canada,no,,CL-213,1,project-history
RES-0139,https://www.charityintelligence.ca/charity-details/32-fred-victor,Other (www.charityintelligence.ca),CRA T3010 annual information return via Charity Intelligence Canada,no,,CL-212,1,project-history
RES-0140,https://www.charityintelligence.ca/charity-details/52-homes-first-society,Other (www.charityintelligence.ca),CRA T3010 annual information return via Charity Intelligence Canada,no,,CL-211,1,project-history
RES-0141,https://www.chrc-ccdp.gc.ca/resources/newsroom/two-years-after-landmark-report-renewed-action-needed-homelessness-continues,Other (www.chrc-ccdp.gc.ca),Federal Housing Advocate March 3 2026,no,,CL-022,1,project-history
RES-0142,https://www.cihi.ca/en/homelessness-and-hospital-use,Other (www.cihi.ca),"CIHI — Homelessness and Hospital Use, 2022-2023",yes,F-006,CL-189;CL-190,2,project-history
RES-0143,https://www.cihi.ca/en/indicators/cost-of-a-standard-hospital-stay-cshs,Other (www.cihi.ca),CIHI Cost of Standard Hospital Stay 2022-23,no,,CL-129,1,project-history
RES-0144,https://www.cihi.ca/en/patient-cost-estimator,Other (www.cihi.ca),CIHI Patient Cost Estimator 2022-23; various secondary sources,no,,CL-128;CL-130,2,project-history
RES-0145,https://www.cmajopen.ca/content/5/3/E576,Other (www.cmajopen.ca),Latimer et al 2017 CMAJ Open plus independent corroboration from PubMed PMC ResearchGate CBC News Mc,no,,CL-343,1,project-history
RES-0146,https://www.cmajopen.ca/content/cmajo/5/3/E576.full.pdf,Other (www.cmajopen.ca),Latimer et al. 2017 CMAJ Open,no,,CL-028,1,project-history
RES-0147,https://www.cmhc-schl.gc.ca,Government of Canada (primary govt),CMHC Average Market Rent 2024,no,,CL-018;CL-291,2,project-history
RES-0148,https://www.communityland.ca/2023-census/,Sector nonprofit/network,2023 Census of Community Land Trusts in Canada,yes,N-034,CL-441,1,project-history
RES-0149,https://www.cp24.com/local/toronto/2025/06/04/toronto-hit-with-50m-class-action-lawsuit-over-decision-to-deny-refugees-shelter-beds/,News (other outlet),CP24 June 4 2025,no,,CL-259,1,project-history
RES-0150,https://www.dhhs.nh.gov/sites/g/files/ehbemt476/files/documents2/clm-ips-fidelity-report-sfy24-final-amended.pdf,Other (www.dhhs.nh.gov),NH DHHS IPS Fidelity Report / MDRC — Individual Placement and Support in Practice,yes,N-011,CL-386,1,project-history
RES-0151,https://www.fraserinstitute.org/commentary/toronto-taxpayers-should-demand-better-citys-homelessness-services,Other (www.fraserinstitute.org),"Fraser Institute commentary ""Toronto taxpayers should demand better of citys homelessness services"" ",no,,CL-224,1,project-history
RES-0152,https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2021.763396/full,Academic (journal),STAR (Supporting Transitions and Recovery) Centre — Quasi-Experimental Evaluation,yes,M-003,CL-408;CL-766,2,project-history
RES-0153,https://www.gg.ca/en/honours/recipients/146-4673,Other (www.gg.ca),York University Faculty of Education profile; Governor General of Canada honours page,no,,CL-304;CL-772,2,project-history
RES-0154,https://www.globenewswire.com/news-release/2025/09/04/3144858/0/en/OPSEU-SEFPO-and-CUPE-Ontario-community-and-social-services-workers-launch-Worth-Fighting-For-coordinated-bargaining-campaign-at-rally-in-Hamilton.html,Other (www.globenewswire.com),OPSEU SEFPO and CUPE Ontario press releases via GlobeNewswire September 2025 and May 2026,no,,CL-349;CL-773,2,project-history
RES-0155,https://www.globenewswire.com/news-release/2026/05/25/3300591/0/en/We-re-telling-our-employers-you-re-either-with-us-or-you-re-against-the-people-who-need-us-Province-wide-strike-in-community-health-and-social-services-expands.html,Other (www.globenewswire.com),OPSEU SEFPO May 25 2026 press release citing FAO,no,,CL-350,1,project-history
RES-0156,https://www.helpseeker.org/reports/municipalities-under-pressure-the-human-and-financial-cost-of-ontarios-homelessness-crisis,Other (www.helpseeker.org),Donaldson et al. (2025). Municipalities Under Pressure. HelpSeeker/AMO.,no,,CL-120;CL-144,2,project-history
RES-0157,https://www.homelesshub.ca/resource/hospital-costs-and-length-stay-among-homeless-patients-admitted-medical-surgical-and,Sector nonprofit/network,"Weaver, Hoch, Hwang et al. — Hospital Cost Differential (Toronto)",yes,Q-001,CL-418,1,project-history
RES-0158,https://www.houstonpublicmedia.org/articles/news/city-of-houston/2025/07/16/526508/houston-city-council-effectively-bans-homeless-people-from-downtown-and-east-downtown-sidewalks/,Other (www.houstonpublicmedia.org),Houston Public Media July 16 2025,no,,CL-132,1,project-history
RES-0159,https://www.jobbank.gc.ca/marketreport/wages-occupation/227148/geo9219,Other (www.jobbank.gc.ca),Government of Canada Job Bank wage report,no,,CL-333,1,project-history
RES-0160,https://www.lawtimesnews.com/practice-areas/criminal/about-one-in-10-of-homeless-ontarios-homeless-population-went-from-jail-to-the-streets/392899,News (other outlet),"John Howard Society of Ontario ""From Incarceration to Encampment"" July 2025; John Howard recommendat",no,,CL-222,1,project-history
RES-0161,https://www.medrxiv.org/content/10.1101/2024.05.07.24306964.full.pdf,Academic (PubMed/PMC/preprint),"""Nowhere to Go"" — Mixed-Methods Study on Shelter Service Restriction",yes,N-014,CL-398,1,project-history
RES-0162,https://www.medscape.com/viewarticle/ontario-2026-healthcare-budget-focuses-primary-care-and-home-2026a1000c3n,Other (www.medscape.com),"2026 Ontario Budget — Total Healthcare Allocation and ""Roadmap to Wellness""",yes,O-002,CL-416,1,project-history
RES-0163,https://www.metisnation.org/programs-and-services/housing-infrastructure/,Other (www.metisnation.org),Metis Nation of Ontario official program pages,no,,CL-375,1,project-history
RES-0164,https://www.msdsb.net/images/ADMIN/correspondence/2020/COHB_Program_Guidelines_Final.pdf,Other (www.msdsb.net),Multiple primary sources including official COHB Program Guidelines and City of Toronto COHB page,no,,CL-360,1,project-history
RES-0165,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11936304/,Academic (PubMed/PMC/preprint),US cost analysis studies published via peer-reviewed journals not Toronto or Ontario specific,no,,CL-420,1,project-history
RES-0166,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5480200/,Academic (PubMed/PMC/preprint),Helsinki Shelter Users — Dual Diagnosis and Daytime Healthcare Utilization,yes,M-007,CL-411,1,project-history
RES-0167,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7424067/,Academic (PubMed/PMC/preprint),STAR Centre — Program Description,yes,M-004,CL-407,1,project-history
RES-0168,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8061292/,Academic (PubMed/PMC/preprint),Ontario Psychiatric Discharge Readmission Cohort Study,yes,Q-002,CL-419,1,project-history
RES-0169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8815224/,Academic (PubMed/PMC/preprint),SHARPS Study Team BMC Public Health 2022 PMC8815224,no,,CL-234,1,project-history
RES-0170,https://www.nihanglaw.ca/bill-c12-ineligibility-letter-canada-ircc-asylum-letter/,Other (www.nihanglaw.ca),Government of Canada temporary public policy cited by multiple immigration law sources,no,,CL-362,1,project-history
RES-0171,https://www.nlstoronto.org/uploads/4/4/3/9/4439251/social_assistance_rates_updates.pdf,Other (www.nlstoronto.org),ISAC — Social Assistance Rates Fact Sheet (September 2013),yes,N-035,CL-442,1,project-history
RES-0172,https://www.ola.org/en/legislative-business/bills/parliament-44/session-1/bill-28,Other (www.ola.org),"Bill 28 — Homelessness Ends with Housing Act, 2025",yes,D-006,CL-653;CL-657,2,project-history
RES-0173,https://www.ola.org/en/legislative-business/bills/parliament-44/session-1/bill-28/votes,Other (www.ola.org),"Bill 28 — Homelessness Ends with Housing Act, 2025",yes,D-006,,0,project-history
RES-0174,https://www.ola.org/en/legislative-business/house-documents/parliament-44/session-1/2025-10-23/hansard,Other (www.ola.org),"OLA Hansard Oct 23, 2025 — vote record confirmed Kimi audit June 30 2026",no,,CL-154,1,project-history
RES-0175,https://www.ombudsmantoronto.ca/investigation-report/an-investigation-into-the-citys-decision-to-stop-allowing-refugee-claimants-into-base-shelter-system-beds/,City of Toronto (primary govt),Ombudsman Toronto investigation report 2024; Christie Refugee Welcome Centre summary,no,,CL-258,1,project-history
RES-0176,https://www.ombudsmantoronto.ca/investigative-report/an-investigation-into-the-citys-decision-to-stop-allowing-refugee-claimants-into-base-shelter-system-beds/,City of Toronto (primary govt),"Ombudsman Toronto — Investigation into Refugee Claimant Shelter Bed Access (Dec 12, 2024)",yes,N-043,CL-450,1,project-history
RES-0177,https://www.ombudsmantoronto.ca/news/,City of Toronto (primary govt),Ombudsman Toronto news release,no,,CL-261,1,project-history
RES-0178,https://www.ombudsmantoronto.ca/wp-content/uploads/2024/12/An-Investigation-Into-the-Citys-Decision-to-Stop-Allowing-Refugee-Claimants-into-Base-Shelter-System-Beds.pdf,City of Toronto (primary govt),Ombudsman Toronto investigation report December 2024,no,,CL-294,1,project-history
RES-0179,https://www.ontario.ca/document/2023-ontario-budget,Government of Ontario (primary govt),Ontario Budget 2023 — HPP baseline ~$493M from Budget 2022; $202M increase Budget 2023 = ~$695M roun,no,,CL-069,1,project-history
RES-0180,https://www.ontario.ca/document/mccss-service-objectives-community-services/services-delivered-vaw-emergency-shelter-and,Government of Ontario (primary govt),Claude Sonnet Task E citing MCCSS service objectives URL,no,,CL-137,1,project-history
RES-0181,https://www.ontario.ca/document/ontario-works-policy-directives/61-calculating-assistance,Government of Ontario (primary govt),Ontario Works Policy Directive 6.1 — Calculating Assistance,yes,N-023,CL-206,1,project-history
RES-0182,https://www.ontario.ca/document/ontario-works-policy-directives/63-shelter,Government of Ontario (primary govt),Government of Ontario Ontario Works Policy Directives official site,no,,CL-359,1,project-history
RES-0183,https://www.ontario.ca/document/ontarios-third-action-plan-under-national-housing-strategy-2025-2028/nhs-programs,Government of Ontario (primary govt),Ontario Third Action Plan under National Housing Strategy 2025-2028,no,,CL-289,1,project-history
RES-0184,https://www.ontario.ca/laws/regulation/980134,Government of Ontario (primary govt),Ontario Regulation 134/98 — Ontario Works Act,yes,D-003,CL-201,1,project-history
RES-0185,https://feedontario.ca/hunger-report-2025/,Sector nonprofit/network,"Feed Ontario Hunger Report 2025 - RESOLVED July 2026, see CL-471, record food bank use + 66% housing cost burden",no,,CL-471;CL-786,2,project-history
RES-0186,https://www.ontario.ca/laws/statute/90e06,Government of Ontario (primary govt),Fixed election date legislation Ontario; Feb 27 2025 election + 4 years = ~April 2029 (fixed date fi,no,,CL-084,1,project-history
RES-0187,https://www.ontario.ca/laws/statute/s25005,Government of Ontario (primary govt),"Safer Municipalities Act, 2025 — S.O. 2025, c.5",yes,D-004,CL-146,1,project-history
RES-0188,https://www.ontario.ca/page/homelessness-and-addiction-recovery-treatment-hubs-hart-hubs-reference-document-january-2025,Government of Ontario (primary govt),HART Hub Reference Document (January 2025),yes,D-007,CL-147;CL-725,2,project-history
RES-0189,https://www.ontario.ca/page/ontario-disability-support-program-odsp-rates,Government of Ontario (primary govt),Grok Task E; DeepSeek-WA Task E citing Ontario.ca ODSP rates,no,,CL-143,1,project-history
RES-0190,https://www.ontario.ca/page/ontario-works-rates,Government of Ontario (primary govt),DeepSeek-WA Task E citing Ontario OW policy directives,no,,CL-142,1,project-history
RES-0191,https://www.ontario.ca/page/published-plans-and-annual-reports-2024-2025-ministry-children-community-and-social-services,Government of Ontario (primary govt),Ontario Ministry of Children Community and Social Services published plans 2024-25,no,,CL-268,1,project-history
RES-0192,https://www.ontariobigcitymayors.ca/ontarios-big-city-mayors-statement-on-the-association-of-municipalities-of-ontarios-amo-updated-report-on-homelessness-in-ontario/,Other (www.ontariobigcitymayors.ca),Ontario Big City Mayors statement January 2026,no,,CL-115,1,project-history
RES-0193,https://www.pbo-dpb.ca/en/publications/RP-2425-005-S--federal-spending-address-homelessness,Government of Canada (primary govt),Parliamentary Budget Office — Federal Spending to Address Homelessness (May 2024),yes,E-001,CL-082;CL-126,2,project-history
RES-0194,https://www.pbo-dpb.ca/en/publications/RP-2425-005-S--federal-spending-address-homelessness--depenses-federales-matiere-itinerance,Government of Canada (primary govt),Parliamentary Budget Officer — Federal Spending to Address Homelessness (May 2024),yes,O-003,CL-425,1,project-history
RES-0195,https://www.pbo-dpb.ca/en/publications/RP-2425-007-S--costing-asylum-claims-from-visa-exempt-countries--analyse-couts-demandeurs-asile-pays-dispenses-obligation-visa,Government of Canada (primary govt),PBO — Costing Asylum Claims from Visa-Exempt Countries,yes,N-020,CL-122;CL-426,2,project-history
RES-0196,https://www.policyalternatives.ca/news-research/successfully-housing-the-homeless-a-finnish-perspective/,Other (www.policyalternatives.ca),Multiple Sources — Helsinki 70% Land Ownership / 25% Social Housing Mandate,yes,N-039,CL-446,1,project-history
RES-0197,https://www.researchgate.net/publication/232522168_A_fidelity_scale_for_the_Individual_Placement_and_Support_model_of_supported_employment,Other (www.researchgate.net),Bond Becker Drake IPS fidelity scale review and related systematic reviews,no,,CL-374,1,project-history
RES-0198,https://www.researchgate.net/publication/398698250,Other (www.researchgate.net),ResearchGate/PMC Peer Navigator Role and Contribution to Mental Health Service Delivery — Collective,no,,CL-237,1,project-history
RES-0199,https://www.richmondhill.ca/en/learn-more/about-bill-23-the-more-homes-built-faster-act.aspx,Other (www.richmondhill.ca),"City of Richmond Hill Staff Report SRPI.23.033 ""About Bill 23 The More Homes Built Faster Act"" Jan 3",no,,CL-230,1,project-history
RES-0200,https://www.socialplanningtoronto.org/2026_police_budget,Other (www.socialplanningtoronto.org),Social Planning Toronto — 2026 Police Budget Analysis,yes,G-005,CL-118,1,project-history
RES-0201,https://www.thecanadianencyclopedia.ca/en/article/ontario-cuts-back,Other (www.thecanadianencyclopedia.ca),"Canadian Encyclopedia (Maclean's July 31 1995): ""cheque reduced from $663 to $520""; Policy Options 2",no,,CL-272;CL-273,2,project-history
RES-0202,https://www.theglobeandmail.com/canada/article-city-of-toronto-police-face-lawsuit-over-removal-of-homeless-camps/,Other (www.theglobeandmail.com),Globe and Mail October 2021,no,,CL-355,1,project-history
RES-0203,https://www.theglobeandmail.com/canada/article-embargo-survey-finds-two-of-five-people-without-a-home-say-jail-time/,Other (www.theglobeandmail.com),"John Howard Society of Ontario ""Locked Up and Locked Out"" 2024",no,,CL-217,1,project-history
RES-0204,https://www.theglobeandmail.com/canada/article-inmates-released-homeless-rates/,Other (www.theglobeandmail.com),Globe and Mail investigation November 2023; data via freedom of information requests,no,,CL-216,1,project-history
RES-0205,https://www.theglobeandmail.com/canada/article-life-in-the-shadows-inside-the-world-of-torontos-undocumented-migrants/,Other (www.theglobeandmail.com),Globe and Mail investigation 2025 citing federal government estimates,no,,CL-382,1,project-history
RES-0206,https://www.theglobeandmail.com/politics/article-scores-of-asylum-claimants-warned-they-may-face-deportation-after/,Other (www.theglobeandmail.com),Globe and Mail April 2026 and multiple immigration law practitioner sources cross-checked,no,,CL-361,1,project-history
RES-0207,https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(20)30055-4/fulltext,Other (www.thelancet.com),Lancet Public Health systematic review search snippet - full article bot-blocked on direct fetch,no,,CL-373,1,project-history
RES-0208,https://www.thetrillium.ca/news/housing/ontarios-unofficial-estimate-of-homeless-population-is-234000-documents-9341464,News (other outlet),The Trillium (Pinkerton/Hauen) Aug 13 2024; corroborated by 8+ Village Media syndicated outlets,no,,CL-254;CL-255;CL-256;CL-568,4,project-history
RES-0209,https://www.thetrillium.ca/news/social-services-and-society/number-of-homeless-ow-odsp-recipients-has-almost-doubled-in-two-years-government-data-9577826,News (other outlet),"The Trillium — ""Number of Homeless OW, ODSP Recipients Has Almost Doubled"" (Sept 2024)",yes,N-024,CL-430,1,project-history
RES-0210,https://www.toronto.ca/,City of Toronto (primary govt),Meta Task G citing Mayor's 2026 budget release and Toronto.ca Rent Bank page,no,,CL-168,1,project-history
RES-0211,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/city-managers-office/intergovernmental-affairs/canada-community-building-fund/housing-needs-assessment/,City of Toronto (primary govt),City of Toronto Housing Needs Assessment October 2025,no,,CL-378,1,project-history
RES-0212,https://www.toronto.ca/city-government/budget-finances/city-budget/,City of Toronto (primary govt),Toronto Budget Committee Jan 2025,no,,CL-001;CL-003,2,project-history
RES-0213,https://www.toronto.ca/city-government/council/members-of-council/,City of Toronto (primary govt),City of Toronto Members of Council page; Wikipedia Toronto City Council 2022-2026,no,,CL-274;CL-275,2,project-history
RES-0214,https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/2025-2030-strategic-plan-to-address-homelessness/,City of Toronto (primary govt),Meta Task G citing City of Toronto Strategic Plan webpage modified March 4 2026,no,,CL-158,1,project-history
RES-0215,https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/deaths-of-shelter-residents/annual-review-of-statistics-on-deaths-of-shelter-residents/,City of Toronto (primary govt),City of Toronto 2024 Annual Review of Statistics on Deaths of Shelter Residents,no,,CL-296;CL-650;CL-782,3,project-history
RES-0216,https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/overdoses-in-homelessness-services-settings/,City of Toronto (primary govt),"City of Toronto Overdoses in Homelessness Services Settings dataset - updated through 2026, includes the 2026 monthly overdose surge and quarterly trend data",no,,CL-300;CL-474;CL-475,3,project-history
RES-0217,https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-system-flow-data/,City of Toronto (primary govt),City of Toronto — Shelter System Flow Data,yes,N-040,CL-004;CL-171;CL-379;CL-447,4,project-history
RES-0218,https://www.toronto.ca/city-government/data-research-maps/toronto-housing-data-hub/housing-data-hub-definitions/,City of Toronto (primary govt),City of Toronto Housing Data Hub Definitions page,no,,CL-326,1,project-history
RES-0219,https://www.toronto.ca/community-people/community-partners/emergency-shelter-operators/bulletins-directives-funding-submissions-and-shelter-standards/,City of Toronto (primary govt),City of Toronto TSSS Bulletins Directives and Funding Submissions page,no,,CL-310,1,project-history
RES-0220,https://www.toronto.ca/community-people/get-involved/volunteer-with-the-city/street-needs-assessment/,City of Toronto (primary govt),City of Toronto official SNA program page,no,,CL-253,1,project-history
RES-0221,https://www.toronto.ca/community-people/health-wellness-care/health-inspections-monitoring/monitoring-deaths-of-homeless-people/,City of Toronto (primary govt),Toronto Public Health Deaths of People Experiencing Homelessness dashboard,no,,CL-298,1,project-history
RES-0222,https://www.toronto.ca/community-people/housing-shelter/access-community-housing/rent-geared-to-income-subsidy/canada-ontario-housing-benefit/,City of Toronto (primary govt),City of Toronto COHB program page,no,,CL-290,1,project-history
RES-0223,https://www.toronto.ca/community-people/housing-shelter/homeless-help/about-torontos-shelter-system/street-needs-assessment/,City of Toronto (primary govt),2024 Street Needs Assessment Report,yes,C-001,CL-101;CL-177;CL-601;CL-776,4,project-history
RES-0224,https://www.toronto.ca/community-people/housing-shelter/homeless-help/about-torontos-shelter-system/winter-services-plan-for-people-experiencing-homelessness/,City of Toronto (primary govt),City of Toronto Winter Services Plan retrospective page April 2026,no,,CL-363,1,project-history
RES-0225,https://www.toronto.ca/community-people/housing-shelter/homeless-help/encampment-outreach-response/,City of Toronto (primary govt),City of Toronto Encampment Outreach and Response page and TFS 2026 Budget Notes,no,,CL-356,1,project-history
RES-0226,https://www.toronto.ca/community-people/housing-shelter/rental-housing-rights-information/understand-prevent-evictions/eviction-prevention-in-the-community-epic/,City of Toronto (primary govt),Meta Task G citing City budget notes; Qwen Task G confirms program details,no,,CL-169;CL-170,2,project-history
RES-0227,https://www.toronto.ca/legdocs/mmis/2023/cc/bgrd/backgroundfile-230130.pdf,City of Toronto (primary govt),City of Toronto Staff Report to Council — Bill 23 Impact Estimate (November 2022),yes,N-006,CL-389,1,project-history
RES-0228,https://www.toronto.ca/legdocs/mmis/2023/cc/bgrd/backgroundfile-235280.pdf,City of Toronto (primary govt),Toronto Ombudsman 2023 — Encampment Investigation,yes,C-006,CL-099,1,project-history
RES-0229,https://www.toronto.ca/legdocs/mmis/2023/ph/bgrd/backgroundfile-240848.pdf,City of Toronto (primary govt),City of Toronto Council Report — Rapid Housing Initiative Phase 3 Outcomes (Nov 2023),yes,N-022,CL-428,1,project-history
RES-0230,https://www.toronto.ca/legdocs/mmis/2024/bu/bgrd/backgroundfile-242343.pdf,City of Toronto (primary govt),2024 TSSS Budget Notes backgroundfile-242343; cross-confirmed by Task G What We Heard SMIS finding a,no,,CL-229;CL-344;CL-384;CL-385,4,project-history
RES-0231,https://www.toronto.ca/legdocs/mmis/2024/ec/bgrd/backgroundfile-245818.pdf,City of Toronto (primary govt),City of Toronto encampment strategy report backgroundfile-245818,no,,CL-100,1,project-history
RES-0232,https://www.toronto.ca/legdocs/mmis/2024/ex/bgrd/backgroundfile-246468.pdf,City of Toronto (primary govt),City of Toronto HSCIS research (documented in staff reports),no,,CL-019,1,project-history
RES-0233,https://www.toronto.ca/legdocs/mmis/2025/au/bgrd/backgroundfile-252902.pdf,City of Toronto (primary govt),Toronto AG 2025 — Audit of TSSS Warming Centres and Winter Respite Sites,yes,A-001,CL-271;CL-314;CL-315;CL-316;CL-317;CL-318;CL-319;CL-321;CL-322;CL-330,10,project-history
RES-0234,https://www.toronto.ca/legdocs/mmis/2025/au/bgrd/backgroundfile-256858.pdf,City of Toronto (primary govt),Toronto AG 2025 — Consolidated Follow-up on Outstanding Recommendations,yes,A-003,,0,project-history
RES-0235,https://www.toronto.ca/legdocs/mmis/2025/bu/bgrd/backgroundfile-251962.pdf,City of Toronto (primary govt),TSSS 2025 Budget Notes,yes,B-004,CL-078;CL-123,2,project-history
RES-0236,https://www.toronto.ca/legdocs/mmis/2025/bu/bgrd/backgroundfile-252522.pdf,City of Toronto (primary govt),TSSS 2025 Budget Notes — Additional Content Mined,yes,N-030,CL-391;CL-393;CL-435;CL-436;CL-437;CL-545;CL-547;CL-774;CL-775,9,project-history
RES-0237,https://www.toronto.ca/legdocs/mmis/2025/bu/bgrd/backgroundfile-252532.pdf,City of Toronto (primary govt),TPL 2025 Budget Notes,yes,L-001,CL-396,1,project-history
RES-0238,https://www.toronto.ca/legdocs/mmis/2025/bu/bgrd/backgroundfile-252540.pdf,City of Toronto (primary govt),"Parks, Forestry and Recreation 2025 Budget Notes",yes,M-001,CL-406,1,project-history
RES-0239,https://www.toronto.ca/legdocs/mmis/2025/ex/bgrd/backgroundfile-254196.pdf,City of Toronto (primary govt),George Street Revitalization — Advancing the Project (March 2025),yes,C-005,CL-164;CL-165,2,project-history
RES-0240,https://www.toronto.ca/legdocs/mmis/2025/ph/bgrd/backgroundfile-257007.pdf,City of Toronto (primary govt),Homelessness Services Capital Infrastructure Strategy — Council Item EC7.7,yes,C-003,CL-162,1,project-history
RES-0241,https://www.toronto.ca/legdocs/mmis/2026/bu/bgrd/backgroundfile-261037.pdf,City of Toronto (primary govt),2026 Toronto Paramedic Services Budget Notes backgroundfile-261037,no,,CL-153,1,project-history
RES-0242,https://www.toronto.ca/legdocs/mmis/2026/bu/bgrd/backgroundfile-261532.pdf,City of Toronto (primary govt),BudgetTO 2026 Budget Notes — Toronto Shelter and Support Services (Current HSCIS Progress),yes,N-048,CL-061;CL-077;CL-102;CL-103;CL-104;CL-107;CL-108;CL-110;CL-392;CL-456;CL-457;CL-559;CL-560;CL-552;CL-561;CL-762,16,project-history
RES-0243,https://www.toronto.ca/legdocs/mmis/2026/bu/bgrd/backgroundfile-261647.pdf,City of Toronto (primary govt),TTC 2026 Budget Presentation — Key Operating Investments 2023-2026,yes,T-002,CL-399,1,project-history
RES-0244,https://www.toronto.ca/legdocs/mmis/2026/bu/bgrd/backgroundfile-261746.pdf,City of Toronto (primary govt),TTC 2026 Budget Notes,yes,T-001,,0,project-history
RES-0245,https://www.toronto.ca/news/city-of-toronto-releases-details-of-2025-2026-winter-services-plan-for-people-experiencing-homelessness/,City of Toronto (primary govt),City of Toronto news release on 2025/2026 Winter Services Plan,no,,CL-325,1,project-history
RES-0246,https://www.toronto.ca/news/city-of-toronto-releases-findings-of-2024-street-needs-assessment-homelessness-survey/,City of Toronto (primary govt),City of Toronto press release July 7 2025,no,,CL-037;CL-764;CL-770,3,project-history
RES-0247,https://www.toronto.ca/news/city-of-toronto-staff-report-on-encampments-and-interdivisional-protocol-for-encampments-in-toronto-idp/,City of Toronto (primary govt),City of Toronto — Fact Sheet on Encampments and Interdivisional Protocol (May 2024),yes,N-047,CL-454;CL-455,2,project-history
RES-0248,https://www.toronto.ca/news/toronto-public-health-releases-updated-data-for-deaths-of-people-experiencing-homelessness-in-toronto/,City of Toronto (primary govt),Toronto Public Health press release February 2025,no,,CL-297;CL-299,2,project-history
RES-0249,https://www.toronto.ca/wp-content/uploads/2024/04/9779-2024-Public-Book-TSSS-V1.pdf,City of Toronto (primary govt),2024 Program Summary Toronto Shelter and Support Services,no,,CL-286,1,project-history
RES-0250,https://www.toronto.ca/wp-content/uploads/2024/12/949f-TorontosCurrentandFutureClimate-REPORT-Final.pdf,City of Toronto (primary govt),City of Toronto — Toronto's Current and Future Climate Report,yes,N-029,CL-434,1,project-history
RES-0251,https://www.toronto.ca/wp-content/uploads/2025/04/8fa4-Strategic-Plan-Stakeholder-Engagement-Report-EXEC-SUMMARY.pdf,City of Toronto (primary govt),What We Heard: 2025-2030 Strategic Plan Stakeholder Engagement Report,yes,C-002,,0,project-history
RES-0252,https://www.toronto.ca/wp-content/uploads/2025/04/979d-Strategic-Plan-Stakeholder-Engagement-Report-FULL.pdf,City of Toronto (primary govt),What We Heard: 2025-2030 Strategic Plan Stakeholder Engagement Report,yes,C-002,CL-106;CL-145;CL-159;CL-173;CL-600,5,project-history
RES-0253,https://www.toronto.ca/wp-content/uploads/2025/05/903c-2024-TSSS-Annual-ReportAODA.pdf,City of Toronto (primary govt),TSSS 2024 Annual Report,yes,B-001,CL-031;CL-179;CL-180;CL-181;CL-182;CL-183;CL-184;CL-185;CL-186;CL-187;CL-188,11,project-history
RES-0254,https://www.toronto.ca/wp-content/uploads/2025/07/9790-street-needs-assessment-report-2024.pdf,City of Toronto (primary govt),2024 Street Needs Assessment Report,yes,C-001,CL-002;CL-020;CL-119;CL-777,4,project-history
RES-0255,https://www.toronto.ca/wp-content/uploads/2025/11/978e-HousingTO2024-2025ProgressReport.pdf,City of Toronto (primary govt),HousingTO 2024-2025 Annual Progress Report,yes,C-004,CL-160,1,project-history
RES-0256,https://www.toronto.ca/wp-content/uploads/2026/03/8eba-2026-Public-Book-TSSS-V1.pdf,City of Toronto (primary govt),TSSS 2026 Program Summary — HSCIS $507.6M Confirmation,yes,B-005,CL-163;CL-270;CL-469,3,project-history
RES-0257,https://www.toronto.ca/wp-content/uploads/2026/03/965d-2026-Public-Book-TPL-V1.pdf,City of Toronto (primary govt),TPL 2026 Program Summary,yes,L-002,,0,project-history
RES-0258,https://www.toronto.ca/wp-content/uploads/2026/03/967f-2026-Public-Book-TPS-V1.pdf,City of Toronto (primary govt),2026 TPS Program Summary Book,no,,CL-117,1,project-history
RES-0259,https://www.torontoauditor.ca,Toronto Auditor General,Toronto AG Warming Centres 2025 (Tara Anderson),no,,CL-005;CL-006;CL-007;CL-008;CL-009;CL-010;CL-011;CL-012;CL-015,9,project-history
RES-0260,https://www.torontoauditor.ca/report/[short-url],Toronto Auditor General,Toronto AG 2025 — Audit of TSSS Warming Centres and Winter Respite Sites,yes,A-001,,0,project-history
